기온(°C),강수량(mm),풍속(m/s),습도(%),증기압(hPa),이슬점온도(°C),일사(MJ/m2),3시간신적설(cm),전운량(10분위),시간,노면상태
4.2,0.05,2.7,57.0,4.7,-3.5,0.11,0.0,10.0,18,0.0
5.3,0.0,2.4,55.0,4.9,-3.0,1.76,0.0,7.0,12,0.0
3.9,0.0,2.2,56.0,4.5,-4.0,0.54,0.0,8.0,9,0.0
5.2,0.0,2.5,55.0,4.9,-3.1,1.38,0.0,7.0,13,0.0
5.1,0.0,5.1,56.0,4.9,-2.9,0.94,0.0,4.0,10,0.0
6.0,0.0,1.4,56.0,5.2,-2.1,1.09,0.0,3.0,11,0.0
6.0,0.0,1.9,56.0,5.333333333333333,-1.8666666666666667,0.41,0.0,7.333333333333333,16,0.0
6.5,0.0333333333333333,3.0,55.0,5.3,-1.9,1.23,0.0,10.0,11,0.0
2.4,0.0,1.9,58.0,4.2,-5.0,0.72,0.0,5.0,11,0.0
6.9,0.0166666666666666,2.5,55.0,5.5,-1.5,0.47,0.0,9.0,13,0.0
6.0,0.0,1.5,56.0,5.2,-2.1,1.48,0.0,3.0,11,0.0
3.8,0.0,1.1,56.0,4.5,-4.1,0.21,0.0,8.0,9,0.0
5.1,0.0,2.8,56.0,4.9,-2.9,0.02,0.0,10.0,9,0.0
4.0,0.0,2.4,56.0,4.5,-4.0,1.2,0.0,3.0,11,0.0
6.5,0.0,2.3,56.0,5.4,-1.6,1.09,0.0,7.0,14,0.0
5.0,0.0,1.8,56.0,4.9,-3.0,0.21,0.0,6.0,17,0.0
2.0,0.0,3.7,58.0,4.1,-5.4,0.89,0.0,7.0,14,0.0
2.6,0.0,6.1,58.0,4.3,-4.8,0.35,0.0,9.0,15,0.0
4.7,0.0333333333333333,2.8,55.0,4.7,-3.5,0.33,0.0,8.838709677419354,13,0.0
4.5,0.0,4.7,56.0,4.7,-3.5,0.14,0.0,8.0,9,0.0
4.1,0.0,3.5,58.0,4.8,-3.4,0.43,0.0,8.870967741935484,12,0.0
2.6,0.0,3.9,57.0,4.2,-5.0,1.82,0.0,5.0,11,0.0
6.0,0.0,0.4,55.0,5.233333333333333,-2.0,0.42,0.0,7.0,11,0.0
2.5,0.0,0.5,58.0,4.2,-4.9,0.12,0.0,10.0,16,0.0
4.3,0.0,2.4,56.0,4.6,-3.7,0.16,0.0,10.0,9,0.0
4.3,0.0,1.3,56.0,4.6,-3.7,0.9,0.0,5.0,9,0.0
4.8,0.0,1.0,57.0,4.9,-3.0,0.37,0.0,7.0,9,0.0
5.9,0.0,0.6,55.0,5.1,-2.4,0.48,0.0,8.0,14,0.0
3.3,0.0,2.7,56.0,4.3,-4.6,1.11,0.0,7.0,9,0.0
6.7,0.0,0.9,55.0,5.4,-1.7,0.69,0.0,10.0,12,0.0
5.5,0.0,2.6,56.0,5.1,-2.5,1.33,0.0,3.0,10,0.0
6.4,0.0,1.1,56.0,5.4,-1.7,0.46,0.0,8.0,11,0.0
5.8,0.0,3.3,55.0,5.1,-2.5,1.71,0.0,6.0,13,0.0
5.8,0.0,2.2,55.0,5.1,-2.5,0.53,0.0,9.0,15,0.0
3.3,0.0,1.9,58.0,4.5,-4.1,0.0,0.0,6.666666666666666,19,0.0
3.9,0.0,1.1,57.0,4.6,-3.8,0.06,0.0,4.0,18,0.0
3.4,0.0,2.6,58.0,4.5,-4.0,1.09,0.0,8.0,11,0.0
2.7,0.5,3.9,57.0,4.3,-4.7,0.85,0.1,5.0,15,0.0
3.2,0.0,3.6,56.0,4.3,-4.7,0.1,0.0,10.0,11,0.0
4.7,0.0,2.0,58.0,5.0,-2.8,1.25,0.0,6.0,12,0.0
4.0,0.0666666666666666,3.6,58.0,4.7,-3.5,0.3,0.0,10.0,13,0.0
6.1,0.0,2.5,55.0,5.3,-2.0,0.52,0.0,8.0,15,0.0
5.7,0.0,2.4,57.0,5.2,-2.1,0.82,0.0,8.0,14,0.0
4.3,0.0,2.9,56.0,4.6,-3.7,0.28,0.0,9.0,17,0.0
5.9,0.0166666666666666,3.5,56.0,5.2,-2.2,0.34,0.0,10.0,10,0.0
5.2,0.0,1.0,56.0,5.0,-2.8,1.36,0.0,3.0,10,0.0
5.4,0.05,3.6,56.0,5.0,-2.6,0.12,0.0,9.0,18,0.0
4.8,0.0,5.6,56.0,4.8,-3.2,1.08,0.0,4.0,15,0.0
2.6,0.0,4.0,59.0,4.3,-4.6,0.61,0.0,6.0,15,0.0
2.6,0.0,1.7,59.0,4.3,-4.6,0.54,0.0,7.0,16,0.0
5.6,0.0,2.9,58.0,4.466666666666667,-4.466666666666667,0.0,0.0,3.333333333333333,19,0.0
4.8,0.05,2.1,56.0,4.8,-3.2,0.0,0.0,10.0,18,0.0
4.6,0.0,2.8,58.0,4.9,-2.9,1.32,0.0,3.0,12,0.0
5.7,0.0,2.5,57.0,5.2,-2.1,0.82,0.0,8.0,10,0.0
2.4,0.0,3.9,57.0,4.2,-5.2,0.14,0.0,10.0,10,0.0
3.4,0.0,4.0,58.0,4.5,-4.0,0.05,0.0,10.0,12,0.0
4.3,0.0,3.6,57.0,4.8,-3.4,0.02,0.0,9.0,19,0.0
6.5,0.0,0.9,55.0,5.3,-1.9,0.38,0.0,8.0,15,0.0
2.7,0.0,3.0,58.0,4.3,-4.7,0.16,0.0,7.0,18,0.0
4.7,0.0,1.7,57.0,4.9,-3.1,0.0,0.0,10.0,18,0.0
5.5,0.0,3.3,55.0,5.0,-2.8,1.76,0.0,6.0,10,0.0
5.0,0.0,4.2,57.0,5.0,-2.8,0.26,0.0,7.0,9,0.0
4.9,0.0,4.1,56.0,4.9,-3.1,0.65,0.0,4.0,9,0.0
6.8,0.0,2.2,56.0,5.6,-1.3,0.95,0.0,6.0,11,0.0
3.8,0.0,3.6,56.0,4.5,-4.1,0.74,0.0,6.0,16,0.0
6.1,0.0,2.5,56.0,5.3,-2.0,1.47,0.0,2.0,13,0.0
2.9,0.0166666666666666,1.4,58.0,4.4,-4.5,0.98,0.0,7.0,10,0.0
3.3,0.0,1.2,57.0,4.4,-4.4,0.0,0.0,7.0,8,0.0
6.3,0.0,3.0,55.0,5.3,-2.0,0.68,0.0,6.0,15,0.0
2.5,0.0,1.3,58.0,4.2,-4.9,1.18,0.0,7.0,10,0.0
3.5,0.0,1.4,58.0,4.5,-4.0,0.43,0.0,5.0,10,0.0
4.9,0.0,1.8,58.0,5.0,-2.6,1.56,0.0,3.0,14,0.0
6.0,0.0,3.2,57.0,5.4,-1.8,1.04,0.0,7.0,13,0.0
6.4,0.0,4.6,55.0,5.533333333333333,-1.2333333333333334,0.82,0.0,8.0,10,0.0
4.3,0.0,2.8,55.0,4.6,-3.9,0.51,0.0,8.0,10,0.0
4.5,0.0,1.6,56.0,4.7,-3.5,0.25,0.0,8.0,8,0.0
3.4,0.0,1.1,57.0,4.2,-5.133333333333334,0.29,0.0,5.666666666666667,17,0.0
4.2,0.0,1.5,57.0,4.7,-3.5,0.32,0.0,10.0,9,0.0
6.8,0.0,1.0,55.0,5.4,-1.6,1.29,0.0,7.0,10,0.0
6.3,0.0,2.5,56.0,5.4,-1.8,0.23,0.0,9.0,16,0.0
4.2,0.0,1.5,57.0,4.7,-3.5,1.79,0.0,0.0,12,0.0
2.6,0.0,3.0,57.0,4.2,-5.0,0.18,0.0,4.0,8,0.0
2.8,0.0,2.5,57.0,4.3,-4.8,0.3,0.0,7.0,17,0.0
3.7,0.0,3.7,57.0,4.5,-4.0,0.15,0.0,10.0,9,0.0
2.9,0.0,3.3,59.0,4.4,-4.3,0.07,0.0,4.0,18,0.0
3.8,0.0,1.8,58.0,4.6,-3.7,0.27,0.0,10.0,11,0.0
2.4,0.0,3.5,57.0,4.2,-5.2,0.66,0.0,9.0,15,0.0
4.7,0.0,2.9,55.0,4.7,-3.5,1.26,0.0,4.0,11,0.0
4.7,0.0,4.9,58.0,5.0,-2.8,2.15,0.0,3.0,12,0.0
1.9,0.0,0.6,58.0,4.1,-5.5,0.53,0.0,8.0,10,0.0
6.8,0.0,3.3,56.0,5.6,-1.3,1.37,0.0,3.0,11,0.0
4.0,0.0,2.2,58.0,4.8,-3.3,0.0,0.0,1.0,18,0.0
2.9,0.0,1.5,56.0,4.2,-5.0,0.22,0.0,10.0,9,0.0
1.6,0.0,0.9,58.0,4.0,-5.7,0.37,0.0,8.0,10,0.0
3.7,0.0,1.9,56.0,4.5,-4.2,0.04,0.0,8.0,8,0.0
5.6,0.05,4.7,55.0,5.1,-2.5,0.43,0.0,6.0,15,0.0
2.5,0.0,3.7,57.0,4.2,-5.1,0.4,0.0,7.0,16,0.0
1.9,0.2,2.8,57.0,4.0,-5.7,0.52,0.0,6.0,10,0.0
4.6,0.0,2.4,58.0,4.9,-2.9,0.47,0.0,5.0,10,0.0
5.5,0.0,4.4,56.0,5.1,-2.5,0.06,0.0,5.0,18,0.0
5.2,0.0,2.5,58.0,5.1,-2.4,0.81,0.0,4.0,13,0.0
7.1,0.0,3.7,55.0,5.6,-1.3,1.49,0.0,7.0,15,0.0
2.9,0.0,1.6,58.0,4.4,-4.5,0.53,0.0,9.0,10,0.0
3.2,0.0,3.8,57.0,4.4,-4.5,0.04,0.0,6.0,18,0.0
1.2,0.0,1.1,58.0,3.9,-6.1,0.27,0.0,8.0,10,0.0
1.2,0.0,0.8,58.0,3.9,-6.1,0.74,0.0,8.0,12,0.0
4.0,0.0,2.2,55.0,4.5,-4.2,1.24,0.0,7.0,12,0.0
4.1,0.0,3.4,58.0,4.8,-3.4,0.0,0.0,8.0,18,0.0
3.3,0.0,6.3,56.0,4.3,-4.6,0.43,0.0,9.0,14,0.0
4.1,0.0,1.7,55.0,4.5,-4.1,1.13,0.0,6.0,12,0.0
1.2,0.0,3.1,58.0,3.9,-6.1,0.52,0.0,8.0,10,0.0
3.0,0.0,3.7,59.0,4.5,-4.2,0.28,0.0,7.0,17,0.0
2.4,0.0,2.0,59.0,4.3,-4.8,1.04,0.0,7.0,12,0.0
2.0,0.0,0.4,57.0,4.0,-5.6,0.49,0.0,9.0,9,0.0
2.9,0.0,4.4,56.0,4.2,-5.0,2.51,0.0,5.0,12,0.0
5.7,0.0,2.5,57.0,5.2,-2.1,0.56,0.0,10.0,12,0.0
5.5,0.0,5.0,55.0,5.0,-2.8,1.71,0.0,4.0,13,0.0
2.5,0.0,1.0,56.0,4.1,-5.4,0.64,0.0,9.0,12,0.0
4.0,0.0,5.7,57.0,4.6,-3.7,0.02,0.0,3.0,18,0.0
3.9,0.0,1.1,57.0,4.6,-3.8,1.54,0.0,0.0,11,0.0
2.3,0.0,0.6,59.0,4.2,-4.9,0.13,0.0,10.0,15,0.0
2.5,0.0,1.8,57.0,4.2,-5.1,1.66,0.0,2.0,12,0.0
7.1,0.0,2.3,56.0,5.7,-0.8,1.15,0.0,6.0,12,0.0
2.8,0.0,1.9,58.0,4.3,-4.6,0.71,0.0,3.0,10,0.0
3.5,0.0,3.7,58.0,4.5,-4.0,0.4,0.0,9.0,10,0.0
5.9,0.0,1.1,56.0,5.2,-2.2,0.08,0.0,10.0,17,0.0
5.2,0.0,2.4,57.0,5.0,-2.6,0.08,0.0,10.0,17,0.0
4.2,0.0,2.2,57.0,4.7,-3.5,0.0,0.0,9.0,8,0.0
5.7,0.0,1.5,55.0,5.0,-2.6,0.47,0.0,8.0,16,0.0
5.5,0.0,2.2,55.0,5.0,-2.8,0.24,0.0,10.0,16,0.0
4.6,0.0,1.0,57.0,4.8,-3.2,0.0,0.0,9.666666666666666,19,0.0
2.5,0.0,3.1,59.0,4.3,-4.7,0.22,0.0,10.0,16,0.0
4.1,0.0,4.3,57.0,4.7,-3.6,0.01,0.0,8.0,8,0.0
1.4,0.0,3.8,58.0,3.9,-5.9,0.54,0.0,10.0,13,0.0
7.7,0.0,2.1,55.0,5.8,-0.7,2.5,0.0,7.0,12,0.0
7.3,0.0,2.6,55.0,5.6,-1.1,1.67,0.0,4.0,13,0.0
6.1,0.0,2.5,57.0,5.4,-1.7,1.13,0.0,6.0,15,0.0
3.6,0.0,2.4,56.0,4.4,-4.3,0.02,0.0,10.0,8,0.0
4.4,0.0,4.5,57.0,4.8,-3.3,0.0,0.0,3.0,19,0.0
2.5,0.0,4.0,57.0,4.2,-5.1,1.9,0.0,3.0,14,0.0
2.2,0.0,3.3,58.0,4.2,-5.2,1.69,0.0,1.0,12,0.0
4.9,0.0,2.0,56.0,4.9,-3.1,0.0,0.0,9.0,19,0.0
4.4,0.0,3.2,57.0,4.8,-3.3,0.0,0.0,8.0,20,0.0
5.9,0.0,5.0,56.0,5.3,-1.9,0.14,0.0,5.0,18,0.0
7.4,0.0,3.4,55.0,5.7,-1.0,0.75,0.0,10.0,13,0.0
1.7,0.0,2.0,57.0,3.9,-5.9,0.59,0.0,9.0,11,0.0
6.8,0.0166666666666666,1.3,56.0,5.6,-1.3,1.1,0.0,2.0,10,0.0
4.3,0.0,0.5,58.0,4.8,-3.2,0.23,0.0,9.0,10,0.0
3.1,0.0,1.0,56.0,4.3,-4.8,1.08,0.0,2.0,12,0.0
5.2,0.0,1.2,58.0,5.1,-2.4,1.43,0.0,3.0,12,0.0
5.2,0.0,4.7,57.0,5.0,-2.6,0.29,0.0,10.0,17,0.0
1.8,0.0,3.0,58.0,4.0,-5.6,0.42,0.0,6.0,9,0.0
6.1,0.0,2.6,56.0,5.3,-2.0,0.0,0.0,6.0,18,0.0
2.0,0.0,1.2,59.0,4.2,-5.1,0.0,0.0,7.0,19,0.0
7.1,0.0,2.8,55.0,5.6,-1.3,0.43,0.0,10.0,15,0.0
5.6,0.0,4.4,56.0,5.1,-2.5,0.26,0.0,4.0,18,0.0
4.8,0.0,3.6,58.0,5.1,-2.5,1.57,0.0,7.0,12,0.0
5.5,0.0,3.7,57.0,5.2,-2.3,0.28,0.0,10.0,9,0.0
2.2,0.0,3.9,59.0,4.3,-4.7,0.0,0.0,9.0,18,0.0
2.3,0.0,4.2,59.0,4.2,-4.9,0.05,0.0,7.0,19,0.0
6.2,0.0,2.4,55.0,5.2,-2.1,0.13,0.0,10.0,9,0.0
4.0,0.0,4.1,56.0,4.5,-4.0,1.6,0.0,1.0,12,0.0
4.5,0.0,2.4,58.0,4.9,-3.0,1.19,0.0,2.0,11,0.0
3.0,0.0,1.9,57.0,4.466666666666667,-4.233333333333333,0.0,0.0,6.666666666666667,19,0.0
5.8,0.0,1.0,57.0,5.3,-2.0,0.53,0.0,9.0,14,0.0
2.8,0.0,2.1,57.0,4.3,-4.8,0.72,0.0,1.0,9,0.0
6.0,0.0,3.1,57.0,5.4,-1.6,1.38,0.0,8.0,12,0.0
2.4,0.0,1.8,56.0,4.1,-5.5,0.18,0.0,9.0,9,0.0
2.8,0.0,2.0,59.0,4.4,-4.4,0.06,0.0,8.0,18,0.0
3.7,0.0,2.0,57.0,4.5,-4.0,0.0,0.0,7.0,20,0.0
1.9,0.0,4.5,57.0,4.0,-5.7,0.36,0.0,10.0,12,0.0
6.5,0.0,2.3,55.0,5.3,-1.9,1.55,0.0,3.0,13,0.0
6.7,0.0,4.7,55.0,5.4,-1.7,1.05,0.0,6.0,16,0.0
2.2,0.0,1.9,58.0,4.2,-5.0,0.25,0.0,4.0,9,0.0
0.9,0.0,2.7,59.0,3.8,-6.2,1.43,0.0,8.0,12,0.0
7.3,0.0,2.8,56.0,5.7,-0.9,0.86,0.0,6.0,10,0.0
3.6,0.0166666666666666,2.9,55.0,4.3,-4.6,0.38,0.0,6.0,10,0.0
2.9,0.0,2.2,58.0,4.4,-4.5,0.71,0.0,0.0,16,0.0
6.6,0.0,5.2,55.0,5.4,-1.8,0.37,0.0,9.0,16,0.0
2.9,0.0,3.6,57.0,4.3,-4.7,0.34,0.0,5.0,18,0.0
1.0,0.0,0.5,58.0,3.8,-6.3,0.91,0.0,6.0,10,0.0
3.9,0.0,2.4,58.0,4.7,-3.6,1.01,0.0,8.0,9,0.0
3.0,0.0,5.8,56.0,4.2,-4.9,1.57,0.0,4.0,13,0.0
5.3,0.0,2.7,55.0,4.9,-3.0,0.4,0.0,7.0,16,0.0
4.5,0.0,0.9,58.0,4.9,-3.0,0.38,0.0,9.0,10,0.0
2.5,0.0,1.0,57.0,4.2,-5.1,1.1,0.0,1.0,11,0.0
5.2,0.0,2.6,55.0,4.9,-3.1,0.6,0.0,9.0,16,0.0
6.6,0.0,4.9,56.0,5.733333333333333,-0.9333333333333332,1.22,0.0,8.0,10,0.0
4.7,0.0,2.7,57.0,4.9,-3.1,0.0,0.0,10.0,8,0.0
7.3,0.0,1.1,56.0,5.766666666666667,-0.8666666666666667,0.94,0.0,7.0,14,0.0
2.3,0.0,0.8,57.0,4.1,-5.3,0.11,0.0,8.0,17,0.0
2.3,0.0,2.1,58.0,4.2,-5.1,1.45,0.0,2.0,10,0.0
4.4,0.0,2.1,57.0,4.9,-3.1,0.0,0.0,1.0,18,0.0
4.5,0.0,2.4,58.0,4.9,-3.0,0.21,0.0,9.0,16,0.0
2.0,0.0,3.7,57.0,4.0,-5.6,0.66,0.0,3.0,10,0.0
5.1,0.0,5.0,57.0,5.0,-2.7,0.14,0.0,8.0,8,0.0
4.4,0.0,1.6,56.0,4.7,-3.6,0.01,0.0,8.0,7,0.0
3.8,0.0,2.0,58.0,4.6,-3.7,0.49,0.0,9.0,9,0.0
1.8,0.0,1.1,57.0,4.0,-5.8,0.0,0.0,7.0,7,0.0
5.1,0.0,1.4,55.0,4.8,-3.2333333333333334,1.45,0.0,2.333333333333333,11,0.0
7.3,0.0,2.8,56.0,5.7,-0.9,1.55,0.0,2.0,14,0.0
3.4,0.0,2.4,58.0,4.5,-4.0,0.0,0.0,2.6666666666666665,20,0.0
1.5,0.0,2.8,59.0,4.1,-5.4,0.02,0.0,4.0,18,0.0
6.2,0.0,3.6,57.0,5.4,-1.7,0.61,0.0,6.0,16,0.0
4.5,0.0,4.6,55.0,4.6,-3.7,1.81,0.0,3.0,11,0.0
7.4,0.0,2.3,55.0,5.9,-0.4000000000000001,1.86,0.0,3.0,11,0.0
1.5,0.0,1.5,59.0,4.0,-5.6,0.53,0.0,10.0,12,0.0
1.4,0.0,1.0,58.0,3.9,-5.9,0.17,0.0,9.0,9,0.0
7.5,0.0,1.5,57.0,5.4,-1.8333333333333333,1.18,0.0,6.0,11,0.0
2.3,0.0,2.6,57.0,4.1,-5.3,0.0,0.0,9.0,7,0.0
7.8,0.0,1.0,55.0,5.8,-0.6,0.71,0.0,9.0,11,0.0
7.6,0.0,5.4,55.0,5.8,-0.8,1.66,0.0,7.0,15,0.0
6.3,0.0,1.8,56.0,5.4,-1.8,0.54,0.0,2.0,9,0.0
4.6,0.0,2.8,58.0,4.9,-2.9,0.5,0.0,10.0,12,0.0
4.8,0.0,1.3,58.0,5.0,-2.7,0.66,0.0,9.0,13,0.0
3.0,0.0,1.7,57.0,4.3,-4.7,0.0,0.0,3.0,7,0.0
6.7,0.0,1.4,57.0,5.6,-1.2,0.96,0.0,4.0,12,0.0
4.9,0.0,4.0,57.0,4.9,-2.9,0.05,0.0,10.0,8,0.0
1.4,0.0,2.8,57.0,3.8,-6.2,1.06,0.0,9.0,11,0.0
4.8,0.0,5.4,57.0,4.9,-3.0,0.1,0.0,9.0,8,0.0
3.5,0.0,3.4,57.0,4.5,-4.2,0.0,0.0,5.666666666666667,20,0.0
6.2,0.0,2.5,57.0,5.4,-1.7,0.78,0.0,9.0,10,0.0
5.4,0.0,2.2,56.0,5.0,-2.6,0.39,0.0,1.0,16,0.0
6.2,0.0,3.3,56.0,5.3,-1.9,1.64,0.0,0.0,12,0.0
2.5,0.0,1.4,58.0,4.2,-4.9,1.46,0.0,0.0,12,0.0
5.5,0.1666666666666666,2.8,56.0,5.1,-2.5,0.0,0.0,10.0,19,0.0
4.9,0.0,6.0,55.0,4.8,-3.4,0.32,0.0,8.0,9,0.0
3.2,0.0,3.3,59.0,4.5,-4.0,0.14,0.0,1.0,18,0.0
6.4,0.0,3.5,56.0,5.4,-1.7,1.45,0.0,0.0,12,0.0
1.8,0.0,2.7,57.0,4.0,-5.8,0.41,0.0,8.0,16,0.0
4.1,0.0,2.0,55.0,4.933333333333334,-3.066666666666667,0.0,0.0,8.0,8,0.0
2.7,0.0,3.1,57.0,4.366666666666666,-4.5,0.0,0.0,8.666666666666666,7,0.0
5.0,0.0,5.2,56.0,4.9,-3.0,0.5,0.0,2.0,17,0.0
3.3,0.0,2.2,56.0,4.3,-4.6,0.0,0.0,8.0,7,0.0
1.8,0.0,6.4,58.0,4.0,-5.6,0.19,0.0,9.0,16,0.0
